corr,mean_pd
0.0,0.033751554787158966
0.0421,0.033286988735198975
0.0842,0.03399817645549774
0.1263,0.036743033677339554
0.1684,0.03843575343489647
0.2105,0.03813463822007179
0.2526,0.04074495658278465
0.2947,0.0430864579975605
0.3368,0.0459185391664505
0.3789,0.0488823801279068
0.4211,0.05036640912294388
0.4632,0.05631188303232193
0.5053,0.06019250676035881
0.5474,0.06765363365411758
0.5895,0.07811899483203888
0.6316,0.08412399888038635
0.6737,0.09056760370731354
0.7158,0.09194586426019669
0.7579,0.09746481478214264
0.8,0.10460756719112396
0.8222,0.10672201216220856
0.8444,0.11238446086645126
0.8667,0.11790160834789276
0.8889,0.12214259803295135
0.9111,0.12701520323753357
0.9333,0.12770959734916687
0.9556,0.1240978017449379
0.9778,0.11307030916213989
1.0,0.07069332897663116
