corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19
0.7579,4.922883817926049e-05,5.037112714489922e-05,4.0757797250989825e-05,3.6991496017435566e-05,2.569004936958663e-05,3.447361450525932e-05,2.9920376618974842e-05,3.442685556365177e-05,4.468960105441511e-05,3.1539359042653814e-05,4.073206946486607e-05,3.294123962405138e-05,3.913768523489125e-05,7.929549610707909e-05,3.827432374237105e-05,6.61431040498428e-05,3.897357964888215e-05,1.9292951037641615e-05,3.814075535046868e-05,1.1986498975602444e-05
0.8,4.682957660406828e-05,5.5426149629056454e-05,3.866737461066805e-05,3.668265708256513e-05,2.8758091502822936e-05,2.5305251256213523e-05,3.494850534480065e-05,3.288855077698827e-05,4.643628926714882e-05,2.9461201847880147e-05,3.953709892812185e-05,3.919007576769218e-05,4.867439565714449e-05,4.989847002434544e-05,3.207307599950582e-05,8.05519666755572e-05,2.765791032288689e-05,2.5070614356081933e-05,2.546665200497955e-05,1.1009282388840802e-05
0.8222,4.643345164367929e-05,4.500291106523946e-05,2.8922104320372455e-05,5.0234448281116784e-05,3.749269308173098e-05,3.44303080055397e-05,3.872810702887364e-05,2.752492764557246e-05,4.080815051565878e-05,3.2700856536393985e-05,3.061831375816837e-05,3.0121609597699717e-05,4.37516973761376e-05,3.559940887498669e-05,3.156390448566526e-05,6.498592847492546e-05,3.2354731956729665e-05,3.2889518479350954e-05,2.6030511435237713e-05,9.612898793420754e-06
0.8444,3.6920933780493215e-05,4.153828922426328e-05,3.460876541794278e-05,3.884587567881681e-05,3.209167334716767e-05,3.4505643270676956e-05,3.6251676647225395e-05,2.844342634489294e-05,3.613973603933118e-05,3.1314582884078845e-05,2.954000410682056e-05,3.670656224130653e-05,4.0921189793152735e-05,4.503106902120635e-05,2.6239284125040285e-05,4.5038155803922564e-05,3.064768316107802e-05,2.105647581629455e-05,3.009880856552627e-05,9.349529136670753e-06
0.8667,3.100320100202225e-05,3.335433575557545e-05,3.798526813625358e-05,4.2150648368988186e-05,3.2888103305594996e-05,3.838901830022223e-05,4.2827148718060926e-05,2.9677174097741954e-05,3.2411011488875374e-05,2.6444009563419968e-05,3.0770130251767114e-05,3.581957207643427e-05,5.591958688455634e-05,3.4167838748544455e-05,2.751959254965186e-05,3.3784835977712646e-05,2.2045167497708462e-05,2.7098993086838163e-05,4.646702291211113e-05,7.909097803349141e-06
0.8889,2.6864576284424402e-05,3.658189598354511e-05,3.2314615964423865e-05,4.111941234441474e-05,3.052867759834044e-05,3.0715589673491195e-05,3.675672269309871e-05,2.8252305128262378e-05,3.1531377317151055e-05,2.610583760542795e-05,2.4964509066194296e-05,2.946951281046495e-05,3.3696749596856534e-05,3.5083947295788676e-05,2.7473906811792403e-05,4.674016963690519e-05,3.362792995176278e-05,2.6833418814931065e-05,3.9772272430127487e-05,1.0506784747121856e-05
0.9111,1.9200793758500367e-05,3.153727084281854e-05,3.909904262400232e-05,4.6627061237813905e-05,3.6816309147980064e-05,4.126867497689091e-05,4.19788557337597e-05,2.7476944524096325e-05,2.5054559955606237e-05,2.1513151295948774e-05,2.9259437724249437e-05,3.479575025266968e-05,2.773265259747859e-05,2.240623507532291e-05,2.3051890821079724e-05,6.124351057223976e-05,3.656087210401893e-05,2.3745260477880947e-05,3.27842753904406e-05,6.4566474975435995e-06
0.9333,1.4345970157592092e-05,1.169636470876867e-05,2.7533287720871158e-05,2.5062834538402967e-05,4.375373828224838e-05,5.042757038609125e-05,3.0206359951989725e-05,3.4053016861435026e-05,3.29011854773853e-05,2.1706435290980153e-05,2.6738403903436847e-05,2.7644724468700588e-05,2.3090831746230833e-05,2.1795705833937973e-05,2.3024964320939034e-05,3.308013765490614e-05,4.113449904252775e-05,3.075143104069866e-05,4.4120330130681396e-05,5.970919119135942e-06
0.9556,1.6499048797413707e-05,9.496015991317108e-06,1.7180129361804575e-05,2.8073378416593187e-05,4.087216439074837e-05,4.6385925088543445e-05,4.9086644139606506e-05,4.984579572919756e-05,3.6574863770511e-05,2.1426221792353317e-05,1.9901954146916978e-05,1.7461899915360846e-05,2.2866752260597423e-05,2.355591277591884e-05,2.4785784262348898e-05,3.892494714818895e-05,3.357482637511566e-05,1.4134880984784104e-05,1.3158928595657926e-05,6.059004135750001e-06
0.9778,6.3491443142993376e-06,3.3824956062744604e-06,9.27222481550416e-06,9.328697160526644e-06,1.9296558093628846e-05,4.0446346247335896e-05,3.0073819289100356e-05,4.631360570783727e-05,2.0103885617572814e-05,3.786604429478757e-05,2.2410204110201448e-05,2.146110091416631e-05,3.88530024792999e-05,3.2190051570069045e-05,2.7158142984262668e-05,3.428398122196086e-05,2.7412988856667653e-05,1.829924622143153e-05,1.8155522411689162e-05,6.184369340189733e-06
1.0,3.412698035276662e-08,1.9296541609037376e-07,2.571774473381083e-07,3.8485265463350515e-07,7.60675732180971e-07,1.0242607686450356e-06,2.2271347006608266e-06,1.2111080422982923e-06,1.8428236217005178e-06,2.562166628194973e-06,7.117839231796097e-06,8.315087143273558e-06,2.7871321890415857e-06,3.8328230402839836e-06,3.3487136533949524e-05,3.8432931432907935e-06,4.891708158538677e-06,6.8373165049706586e-06,1.2433032679837197e-05,4.756310772791039e-06
