corr,mean_pd
0.0,0.038977671414613724
0.0421,0.040842004120349884
0.0842,0.04467384144663811
0.1263,0.04490644484758377
0.1684,0.04549970477819443
0.2105,0.04855072870850563
0.2526,0.05289874225854874
0.2947,0.05765201896429062
0.3368,0.06038974970579147
0.3789,0.06404530256986618
0.4211,0.06922145187854767
0.4632,0.07287783920764923
0.5053,0.07931890338659286
0.5474,0.08196577429771423
0.5895,0.08545316755771637
0.6316,0.0916116014122963
0.6737,0.09432713687419891
0.7158,0.10023416578769684
0.7579,0.11055712401866913
0.8,0.11800044775009155
0.8222,0.12397243827581406
0.8444,0.12351276725530624
0.8667,0.13190476596355438
0.8889,0.13393458724021912
0.9111,0.13535651564598083
0.9333,0.13740786910057068
0.9556,0.13774794340133667
0.9778,0.12229206413030624
1.0,0.09766001999378204
