corr,mean_pd
0.0,0.0017742072232067585
0.0421,0.001721925218589604
0.0842,0.0019263853318989277
0.1263,0.0019433677662163973
0.1684,0.0019051405834034085
0.2105,0.0019929620902985334
0.2526,0.002251140773296356
0.2947,0.0023384196683764458
0.3368,0.002616492100059986
0.3789,0.0026860253419727087
0.4211,0.002822533017024398
0.4632,0.002986703999340534
0.5053,0.0034003760665655136
0.5474,0.0035031456500291824
0.5895,0.003571384120732546
0.6316,0.00396985886618495
0.6737,0.00415835902094841
0.7158,0.004382916260510683
0.7579,0.004934465512633324
0.8,0.005728370510041714
0.8222,0.005923864431679249
0.8444,0.005526906345039606
0.8667,0.006094098556786776
0.8889,0.006722765974700451
0.9111,0.005702933296561241
0.9333,0.0056825303472578526
0.9556,0.005187009461224079
0.9778,0.004442197736352682
1.0,0.0038346033543348312
