corr,mean_pd
0.3789,0.0022652659099549055
0.4211,0.0022524434607475996
0.4632,0.002448966493830085
0.5053,0.002741362666711211
0.5474,0.0029405076056718826
0.5895,0.0032708365470170975
0.6316,0.0034765880554914474
0.6737,0.003967252094298601
0.7158,0.004131091292947531
0.7579,0.004369119647890329
0.8,0.004823876079171896
0.8222,0.005148314870893955
0.8444,0.005438752006739378
0.8667,0.005332425236701965
0.8889,0.005571506917476654
0.9111,0.00574845215305686
0.9333,0.005985025316476822
0.9556,0.0055778659880161285
0.9778,0.004872699733823538
1.0,0.003539155935868621
