corr,mean_pd
0.0,0.0016181826358661056
0.0421,0.001762014115229249
0.0842,0.0018510054796934128
0.1263,0.0018307067221030593
0.1684,0.0016385100316256285
0.2105,0.0017001412343233824
0.2526,0.001658836961723864
0.2947,0.0016025282675400376
0.3368,0.00159541261382401
0.3789,0.0017959615215659142
0.4211,0.0018831603229045868
0.4632,0.0018699882784858346
0.5053,0.0018323631957173347
0.5474,0.0018660143250599504
0.5895,0.0020959563553333282
0.6316,0.0021908190101385117
0.6737,0.0021826818119734526
0.7158,0.002261960878968239
0.7579,0.002417049603536725
0.8,0.0026550483889877796
0.8222,0.002612016862258315
0.8444,0.0027689968701452017
0.8667,0.0028257190715521574
0.8889,0.0029550727922469378
0.9111,0.0032039820216596127
0.9333,0.0031097978353500366
0.9556,0.0033525980543345213
0.9778,0.003609148785471916
1.0,0.002444041194394231
