corr,mean_pd
0,0.035656787
0.0421,0.038199134
0.0842,0.037197635
0.1263,0.038188633
0.1684,0.043317735
0.2105,0.045128595
0.2526,0.047143046
0.2947,0.047910139
0.3368,0.051517896
0.3789,0.056063421
0.4211,0.056190323
0.4632,0.063178442
0.5053,0.066661336
0.5474,0.070105441
0.5895,0.075779267
0.6316,0.078612395
0.6737,0.082558639
0.7158,0.087971576
0.7579,0.094709158
0.8,0.099128835
0.8222,0.102223292
0.8444,0.103443526
0.8667,0.106844351
0.8889,0.109602354
0.9111,0.109874249
0.9333,0.109856464
0.9556,0.107993104
0.9778,0.100706324
1,0.0712121
