corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.6316,5.258296005195007e-05,5.4994685342535377e-05,4.842619819100946e-05,2.4890190616133623e-05,2.593431418063119e-05,4.433166759554297e-05,3.426080729695968e-05,1.8781016478897072e-05,2.5741925128386356e-05,3.0426648663706146e-05
0.6737,4.4557546061696485e-05,6.969707465032116e-05,3.8007514376658946e-05,2.5370793082402088e-05,2.7805770514532924e-05,4.8535097448620945e-05,3.2140891562448815e-05,1.9042017811443657e-05,2.9670733056263998e-05,3.339818067615852e-05
0.7158,4.5987213525222614e-05,6.467424100264907e-05,4.559418448479846e-05,2.665555257408414e-05,2.4128823497449048e-05,3.98680531361606e-05,3.482975807855837e-05,2.0062576368218288e-05,3.290208405815065e-05,2.8321890567895025e-05
0.7579,5.869553569937125e-05,3.3783060644054785e-05,4.166644066572189e-05,3.3057312975870445e-05,2.515545565984212e-05,4.058038757648319e-05,3.1083967769518495e-05,2.2536471078637987e-05,3.162405118928291e-05,2.569058779045008e-05
0.8,8.523376891389489e-05,4.0874328988138586e-05,3.033948814845644e-05,2.2361617084243335e-05,3.4994947782251984e-05,2.475375367794186e-05,3.131960329483263e-05,2.0956249500159174e-05,3.070821912842803e-05,2.205291275458876e-05
0.8222,8.593026723247021e-05,4.3099022150272503e-05,3.5466160625219345e-05,2.646593566169031e-05,3.182450382155366e-05,2.621124622237403e-05,3.412306250538677e-05,2.3210463041323237e-05,5.979356137686409e-05,1.8509619621909223e-05
0.8444,8.995360985863954e-05,3.7839443393750116e-05,3.9915466913953424e-05,2.2527508917846717e-05,2.8990285500185564e-05,2.4623810531920753e-05,4.5022530684946105e-05,1.906106626847759e-05,0.00011824131070170552,1.6291814972646534e-05
0.8667,9.056874841917306e-05,4.2531948565738276e-05,4.365122731542215e-05,2.303877226950135e-05,3.1661620596423745e-05,2.5046752853086218e-05,3.7275389331625775e-05,2.2078620531829074e-05,8.572582009946927e-05,1.3918195691076107e-05
0.8889,7.09680825821124e-05,3.8122034311527386e-05,3.47685745509807e-05,2.4591612600488588e-05,3.890111474902369e-05,2.4952549210865982e-05,3.669313446152955e-05,2.1603562345262617e-05,8.042978879529983e-05,1.5103202713362407e-05
0.9111,7.708894554525614e-05,3.7645004340447485e-05,3.339668910484761e-05,2.3421214791596867e-05,4.305589391151443e-05,2.615148878248874e-05,3.0676448659505695e-05,1.971096389752347e-05,8.426894783042371e-05,1.5196104868664406e-05
0.9333,4.8883273848332465e-05,3.429034768487327e-05,3.1092236895347014e-05,2.9051368983346038e-05,5.6099281209753826e-05,1.852948116720654e-05,3.168694820487872e-05,1.765550405252725e-05,5.621408490696922e-05,1.4350342098623514e-05
0.9556,3.367403769516386e-05,2.5345136236865073e-05,3.284760896349326e-05,2.7808007871499285e-05,5.011294342693873e-05,3.510311580612324e-05,2.1545187337324023e-05,1.8469325368641876e-05,4.428748434293084e-05,1.4689521776745096e-05
0.9778,2.8847212888649665e-05,9.66017341852421e-06,2.4634009605506435e-05,2.1162979464861564e-05,2.7563599360291846e-05,2.223339288320858e-05,1.8964052287628874e-05,2.0164989109616727e-05,3.4473119740141556e-05,1.4788153748668265e-05
1.0,1.6466900660816464e-06,3.7884472021687543e-06,1.5417547274410026e-06,3.929197191610001e-06,7.813644515408669e-06,6.438088803406572e-06,8.520531082467642e-06,7.780934538459405e-06,2.3181499273050576e-05,1.7610835129744373e-05
