step,epoch,n_refreshed,mean,std,min,max,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
7,0,,0.25876811146736145,0.4362001121044159,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,1.0,1.0,1.0
7,40,25000,0.2710486352443695,0.43305450677871704,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.333371433380307e-08,1.8373032162344316e-06,4.823186100111343e-05,0.0006522450130432844,0.006576988846063614,0.08923491090536118,1.0,1.0,1.0
7,80,25000,0.27135375142097473,0.4335669279098511,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.626887045195872e-08,1.7846138007371337e-06,4.808124140254222e-05,0.0006143953651189804,0.006644490174949169,0.08681345731019974,1.0,1.0,1.0
7,120,25000,0.27186691761016846,0.43429210782051086,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.637697242377726e-08,1.8538544281909708e-06,4.636673111235723e-05,0.0006224677199497819,0.006619921885430813,0.08869776129722595,1.0,1.0,1.0
7,160,25000,0.27203407883644104,0.4344101548194885,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.463834540364587e-08,1.8395008964944282e-06,4.796614302904345e-05,0.0006422833539545536,0.006584862247109413,0.08713805675506592,1.0,1.0,1.0
7,200,25000,0.27221667766571045,0.4345904588699341,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.457106411199675e-08,1.9138510651828256e-06,4.7052155423443764e-05,0.0006243353709578514,0.006642174907028675,0.08767932653427124,1.0,1.0,1.0
7,240,25000,0.2723047435283661,0.4348249137401581,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.5871403503715555e-08,1.8532541616878007e-06,4.941966835758649e-05,0.0006241193041205406,0.00655581708997488,0.08608758449554443,1.0,1.0,1.0
7,280,25000,0.27244487404823303,0.43485593795776367,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.4763535928259444e-08,1.8964641412821948e-06,4.759410512633622e-05,0.0006240915972739458,0.006629838142544031,0.0882025957107544,1.0,1.0,1.0
7,320,25000,0.2723845839500427,0.43486863374710083,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.598453967081696e-08,1.84304656158929e-06,4.8538749979343265e-05,0.000617871293798089,0.0066178650595247746,0.08705931156873703,1.0,1.0,1.0
7,360,25000,0.2723314166069031,0.4348416030406952,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.6778461043904827e-08,1.927195626194589e-06,4.850010009249672e-05,0.00063026585849002,0.006649390794336796,0.08619248867034912,1.0,1.0,1.0
7,400,25000,0.2723599970340729,0.43481436371803284,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.534557701025733e-08,1.8783520090437378e-06,4.881483255303465e-05,0.0006417515687644482,0.006553707178682089,0.08871760219335556,1.0,1.0,1.0
7,440,25000,0.2723584771156311,0.4347700774669647,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.53225056876272e-08,1.796483275029459e-06,4.797377550858073e-05,0.0006374284857884049,0.006696532946079969,0.08706268668174744,1.0,1.0,1.0
7,480,25000,0.27235084772109985,0.43479856848716736,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.5260915843291514e-08,1.898124537547119e-06,4.6790977648925036e-05,0.0006452318048104644,0.006646057590842247,0.08869200199842453,1.0,1.0,1.0
7,520,25000,0.2723753750324249,0.43480154871940613,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.705950201218002e-08,1.7319001699434011e-06,4.813904160982929e-05,0.0006289440207183361,0.006794573739171028,0.08722851425409317,1.0,1.0,1.0
7,560,25000,0.2723749577999115,0.434812992811203,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.431888894236181e-08,1.8617163277667714e-06,4.676869139075279e-05,0.0006413414375856519,0.006538048852235079,0.08525785058736801,1.0,1.0,1.0
7,600,25000,0.27241647243499756,0.4348006844520569,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.643923017828456e-08,1.8432575643601012e-06,4.737362905871123e-05,0.0006296269712038338,0.0066589065827429295,0.08832108974456787,1.0,1.0,1.0
7,640,25000,0.2723548710346222,0.4347536563873291,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.57578907489642e-08,1.8916362023446709e-06,4.932716183247976e-05,0.0006511661922559142,0.006578767206519842,0.08672013133764267,1.0,1.0,1.0
7,680,25000,0.27230629324913025,0.4347284734249115,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.695746452261119e-08,1.8015293790085707e-06,4.697229451267049e-05,0.0006262259557843208,0.006815019063651562,0.08760074526071548,1.0,1.0,1.0
7,720,25000,0.27234020829200745,0.43470263481140137,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.646212741794443e-08,1.8700734472076874e-06,4.8133457312360406e-05,0.0006425012834370136,0.006621265783905983,0.08803737908601761,1.0,1.0,1.0
7,760,25000,0.2723267674446106,0.434777170419693,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.484396226052013e-08,1.929415475387941e-06,4.891526259598322e-05,0.0006145589286461473,0.006695634685456753,0.08562291413545609,1.0,1.0,1.0
7,800,25000,0.27231261134147644,0.4346632659435272,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.7012393028799124e-08,1.8360410649620462e-06,4.8897996748564765e-05,0.0006353865610435605,0.0068411873653531075,0.08874720335006714,1.0,1.0,1.0
7,840,25000,0.27220577001571655,0.43469199538230896,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.5634369999779665e-08,1.841288053583412e-06,4.9392125220038e-05,0.0006216045003384352,0.006697898730635643,0.0869736596941948,1.0,1.0,1.0
7,880,25000,0.2722436785697937,0.4347165822982788,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.577883399610073e-08,1.8203741092293058e-06,4.67642312287353e-05,0.0006340988911688328,0.006606987211853266,0.08795145153999329,1.0,1.0,1.0
7,920,25000,0.27225571870803833,0.43464985489845276,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.490026566690176e-08,1.875784050753282e-06,4.894750964012928e-05,0.0006345860892906785,0.006631035823374987,0.08770381659269333,1.0,1.0,1.0
7,960,25000,0.2721896469593048,0.4347088038921356,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.661353696950755e-08,1.8558882857178105e-06,4.8497233365196735e-05,0.0006292631151154637,0.006649484857916832,0.08480598032474518,1.0,1.0,1.0
7,1000,25000,0.2722104489803314,0.43473100662231445,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.646985101748214e-08,1.8373506236457615e-06,4.561694368021563e-05,0.0006341126281768084,0.006667247507721186,0.08778756111860275,1.0,1.0,1.0
7,1040,25000,0.2722706198692322,0.43478652834892273,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.413190606873286e-08,1.8534129822000978e-06,4.726186307379976e-05,0.0006422472069971263,0.006659140344709158,0.08842183649539948,1.0,1.0,1.0
7,1080,25000,0.27232494950294495,0.43478021025657654,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.468272235020777e-08,1.890504904622503e-06,4.825759242521599e-05,0.0006186756072565913,0.00667599169537425,0.08703547716140747,1.0,1.0,1.0
7,1120,25000,0.27233174443244934,0.43478456139564514,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.48740324290975e-08,1.8278585685038706e-06,4.645843364414759e-05,0.0006353333010338247,0.006692772731184959,0.0866854339838028,1.0,1.0,1.0
7,1160,25000,0.2723768651485443,0.43479418754577637,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.558090165891372e-08,1.8828501424650312e-06,4.635588629753329e-05,0.0006406347965821624,0.006656690500676632,0.08621339499950409,1.0,1.0,1.0
7,1200,25000,0.27233728766441345,0.4347568154335022,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.541025416277989e-08,1.8473665477358736e-06,4.744233956444077e-05,0.000646059459540993,0.006414769217371941,0.08717405050992966,1.0,1.0,1.0
7,1240,25000,0.2724233865737915,0.4347587823867798,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.768527344685026e-08,1.8711224356593448e-06,4.614448334905319e-05,0.0006312642362900078,0.006641459185630083,0.0860576406121254,1.0,1.0,1.0
7,1280,25000,0.27230843901634216,0.43483465909957886,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.45261933382335e-08,1.8133937373931985e-06,4.9614998715696856e-05,0.0006314947968348861,0.0065759760327637196,0.08689703047275543,1.0,1.0,1.0
7,1320,25000,0.27237415313720703,0.4347856342792511,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,5.51663497105892e-08,1.8492534081815393e-06,4.765857011079788e-05,0.0006360531551763415,0.006714679766446352,0.08696036785840988,1.0,1.0,1.0
