corr,mean_pd
0.0,0.033178918063640594
0.0421,0.0355156734585762
0.0842,0.03298129141330719
0.1263,0.036314018070697784
0.1684,0.03659246861934662
0.2105,0.040897712111473083
0.2526,0.04386994242668152
0.2947,0.04592002555727959
0.3368,0.0458834171295166
0.3789,0.05289233475923538
0.4211,0.05393828824162483
0.4632,0.0634383112192154
0.5053,0.06507037580013275
0.5474,0.07142066955566406
0.5895,0.07547768950462341
0.6316,0.08028952032327652
0.6737,0.09316936880350113
0.7158,0.09659496694803238
0.7579,0.10647014528512955
0.8,0.11163964122533798
0.8222,0.11525706946849823
0.8444,0.11644277721643448
0.8667,0.11480406671762466
0.8889,0.11986132711172104
0.9111,0.12592676281929016
0.9333,0.12556812167167664
0.9556,0.12866298854351044
0.9778,0.11811883747577667
1.0,0.08004488795995712
