corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.4211,3.304266283521429e-05,2.336943543923553e-05,2.258072345284745e-05,2.1186973754083738e-05,7.726575859123841e-05,4.611696203937754e-05,3.333616768941283e-05,2.3130081899580546e-05,1.4075493709242437e-05,4.149202140979469e-05
0.4632,2.4312763343914412e-05,2.8358630515867844e-05,2.1241738068056293e-05,3.112592821707949e-05,9.565628715790808e-05,4.020580308861099e-05,3.849218774121255e-05,3.311375985504128e-05,1.884389712358825e-05,4.3462943722261116e-05
0.5053,2.8140000722487457e-05,2.666576074261684e-05,2.0409164790180512e-05,1.9398787117097527e-05,6.5391264797654e-05,2.5652259864727966e-05,4.52879503427539e-05,4.313302270020358e-05,1.7948372260434553e-05,4.058197373524308e-05
0.5474,3.253562317695469e-05,3.04911081911996e-05,1.8533039110479876e-05,3.306634243926965e-05,6.089141243137419e-05,2.2891239495947957e-05,6.444085738621652e-05,3.3929114579223096e-05,2.0291045075282454e-05,3.988161915913224e-05
0.5895,3.5084136470686644e-05,2.4944512915681116e-05,2.7024716473533772e-05,3.4347405744483694e-05,4.225293378112838e-05,2.346138899156358e-05,3.951572944060899e-05,3.3809417800512165e-05,1.6461595805594698e-05,3.501715764286928e-05
0.6316,3.5700890293810517e-05,4.275780156604014e-05,4.6897053834982216e-05,3.276675852248445e-05,2.1123212718521245e-05,2.4847640816005878e-05,3.311093314550817e-05,4.0493490814697e-05,2.5121926228166558e-05,3.3736796467565e-05
0.6737,3.733315315912478e-05,3.357953391969204e-05,5.9168269217479974e-05,7.863551581976935e-05,5.731082637794316e-05,2.7222127755521797e-05,3.444260437390767e-05,2.6176156097790226e-05,2.074977419397328e-05,3.9417529478669167e-05
0.7158,5.247715671430342e-05,5.6547982239862904e-05,3.7801666621817276e-05,7.808404916431755e-05,4.6739492972847074e-05,3.911943713319488e-05,3.8822901842650026e-05,2.914899778261315e-05,2.3111328118829988e-05,3.71092464774847e-05
0.7579,6.934991688467562e-05,6.909749208716676e-05,4.3381747673265636e-05,7.85630545578897e-05,3.801045022555627e-05,4.450853157322854e-05,2.717577626754064e-05,3.1663657864555717e-05,2.0162429791525938e-05,3.5217944969190285e-05
0.8,7.70976475905627e-05,4.840995097765699e-05,4.245717718731612e-05,7.647515303688124e-05,4.516198896453716e-05,5.2208106353646144e-05,3.493655094644055e-05,2.6387979232822545e-05,2.4501974621671252e-05,3.137889871140942e-05
0.8222,0.00010325206676498055,4.3709886085707694e-05,4.068606358487159e-05,5.2202813094481826e-05,3.8526675780303776e-05,3.9437509258277714e-05,2.724753358052112e-05,2.7554344342206605e-05,2.233249142591376e-05,3.2355157600250095e-05
0.8444,8.22569418232888e-05,4.074848038726486e-05,3.813004877883941e-05,3.594368536141701e-05,3.52429851773195e-05,4.272532896720804e-05,2.477739326423034e-05,2.7475847673485987e-05,2.5621786335250363e-05,3.1113399018067867e-05
0.8667,5.50675940758083e-05,5.187647184357047e-05,3.972218473791145e-05,2.7707657864084467e-05,2.878501072700601e-05,2.516856329748407e-05,2.3625698304385878e-05,2.878148552554194e-05,4.24956415372435e-05,2.452556145726703e-05
0.8889,6.026008486514911e-05,4.1102030081674457e-05,3.531789843691513e-05,3.082117109443061e-05,3.233406096114777e-05,2.6416621039970778e-05,2.1184678189456463e-05,2.2720458218827844e-05,3.6542860470945016e-05,2.4559234589105472e-05
0.9111,4.304856338421814e-05,2.782130650302861e-05,3.557064337655902e-05,2.6586050807964057e-05,2.8143103918409906e-05,5.98083388467785e-05,2.4443788788630627e-05,2.8462767659220845e-05,4.203370917821303e-05,3.362063944223337e-05
0.9333,3.09682400256861e-05,2.5545543394400738e-05,3.0119263101369143e-05,4.671594069804996e-05,3.4430588129907846e-05,6.77095667924732e-05,3.79734265152365e-05,2.807225246215239e-05,2.8185801056679338e-05,3.542746344464831e-05
0.9556,2.4846880478435196e-05,2.396046147623565e-05,2.035793659160845e-05,3.275923154433258e-05,4.25096986873541e-05,4.238831388647668e-05,2.4139113520504907e-05,2.7666730602504686e-05,1.7595657482161187e-05,2.0922541807522066e-05
0.9778,1.5609657566528767e-05,1.4355738130689133e-05,1.4460544662142638e-05,2.7138985387864523e-05,2.395393130427692e-05,2.0373405277496204e-05,1.5139271454245318e-05,1.1797129445767496e-05,1.4277903574111406e-05,1.5558218365185894e-05
1.0,3.688312972371932e-06,2.8240972369530937e-06,1.2397795217111707e-05,3.986970114056021e-06,8.599162356404122e-06,5.2930745368939824e-06,1.1151739272463601e-05,6.669337381026708e-06,8.49647585710045e-06,1.406224964739522e-05
