corr,mean_pd
0.0,0.5637434720993042
0.0421,0.5757795572280884
0.0842,0.5771989822387695
0.1263,0.5843902826309204
0.1684,0.5886114239692688
0.2105,0.5975770354270935
0.2526,0.6036931276321411
0.2947,0.6122016906738281
0.3368,0.6213046908378601
0.3789,0.6213713884353638
0.4211,0.6284558773040771
0.4632,0.6335383057594299
0.5053,0.6400817632675171
0.5474,0.6417356133460999
0.5895,0.6521438956260681
0.6316,0.655009388923645
0.6737,0.6607637405395508
0.7158,0.6661084890365601
0.7579,0.6693947315216064
0.8,0.6709426641464233
0.8222,0.6729340553283691
0.8444,0.6750386357307434
0.8667,0.6780781149864197
0.8889,0.6796740293502808
0.9111,0.6784355044364929
0.9333,0.6760943531990051
0.9556,0.664712131023407
0.9778,0.6413630843162537
1.0,0.5540702939033508
