corr,mean_pd
0.0,0.0016613565385341644
0.0421,0.0017644825857132673
0.0842,0.001739654690027237
0.1263,0.0017822179943323135
0.1684,0.0017971133347600698
0.2105,0.0018435332458466291
0.2526,0.0017203869065269828
0.2947,0.0017828214913606644
0.3368,0.0022025504149496555
0.3789,0.002267557429149747
0.4211,0.0026681311428546906
0.4632,0.003042097669094801
0.5053,0.0033083464950323105
0.5474,0.0037583305966109037
0.5895,0.004384184721857309
0.6316,0.005189253482967615
0.6737,0.005133298225700855
0.7158,0.005581889301538467
0.7579,0.006145888473838568
0.8,0.008113591000437737
0.8222,0.009009191766381264
0.8444,0.00851925928145647
0.8667,0.008730479516088963
0.8889,0.009209789335727692
0.9111,0.009632997214794159
0.9333,0.008996644988656044
0.9556,0.0076953815296292305
0.9778,0.005989965051412582
1.0,0.004042364656925201
