corr,mean_pd
0.0,0.03309713304042816
0.0421,0.0334039106965065
0.0842,0.03662584349513054
0.1263,0.03735123202204704
0.1684,0.03551732376217842
0.2105,0.042434971779584885
0.2526,0.04220622405409813
0.2947,0.045808106660842896
0.3368,0.04840729385614395
0.3789,0.05180562660098076
0.4211,0.05488219112157822
0.4632,0.0559028759598732
0.5053,0.05980107933282852
0.5474,0.058628033846616745
0.5895,0.06584881246089935
0.6316,0.07667727768421173
0.6737,0.08179320394992828
0.7158,0.08962340652942657
0.7579,0.08905435353517532
0.8,0.09791552275419235
0.8222,0.10114184767007828
0.8444,0.1064591258764267
0.8667,0.11328371614217758
0.8889,0.11150467395782471
0.9111,0.11835602670907974
0.9333,0.12065558135509491
0.9556,0.1216593012213707
0.9778,0.11150369793176651
1.0,0.07450439780950546
