corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.5474,5.435200728243217e-05,6.60437872284092e-05,6.245134136406705e-05,5.5221524235093966e-05,3.819379708147608e-05,3.924994234694168e-05,3.597786417230964e-05,2.5974723030230962e-05,3.125825969618745e-05,1.7341064449283294e-05
0.5895,4.985852137906477e-05,6.330387259367853e-05,5.757899270975031e-05,4.10329521400854e-05,3.6477951653068885e-05,4.125175473745912e-05,3.9654052670812234e-05,3.379632835276425e-05,3.8478068745462224e-05,1.878709917946253e-05
0.6316,5.1670904213096946e-05,5.9624246205203235e-05,5.232290277490392e-05,3.8794183637946844e-05,3.978754466515966e-05,3.998880129074678e-05,4.719741627923213e-05,2.8663920602411963e-05,3.3264586818404496e-05,1.6831603716127574e-05
0.6737,6.1740109231323e-05,5.963896546745673e-05,5.5634223826928064e-05,4.14886926591862e-05,3.663155803224072e-05,3.5866687539964914e-05,2.9559669201262295e-05,2.4039658455876634e-05,5.433080514194444e-05,1.611031620996073e-05
0.7158,6.094960554037243e-05,7.074475433910266e-05,4.9135116569232196e-05,4.2545671021798626e-05,4.269002238288522e-05,2.8185071641928516e-05,3.651019505923614e-05,2.5042709239642136e-05,7.67896999605e-05,1.368410903523909e-05
0.7579,4.3747422751039267e-05,6.331707845674828e-05,4.392502523842268e-05,3.425724571570754e-05,4.331537274993025e-05,2.908187707362231e-05,2.814037179632578e-05,2.362191844440531e-05,4.5737171603832394e-05,1.3220319488027599e-05
0.8,4.0468701627105474e-05,5.3309773647924885e-05,4.7780216846149415e-05,4.2177292925771326e-05,3.193759039277211e-05,2.7144311388838105e-05,2.7773923648055643e-05,2.353926538489759e-05,3.633540472947061e-05,1.4246814316720702e-05
0.8222,3.9630798710277304e-05,5.03188421134837e-05,4.5268330723047256e-05,3.665098483907059e-05,2.8549684429890476e-05,2.843384754669387e-05,2.6452020392753184e-05,2.425635830149986e-05,3.0224946385715157e-05,1.2190595953143202e-05
0.8444,4.034115045215003e-05,3.446685150265694e-05,5.556717223953456e-05,3.51697308360599e-05,2.9454909963533282e-05,2.4902205041144043e-05,2.7127798603032716e-05,2.6260438971803524e-05,4.717106276075356e-05,1.136976425186731e-05
0.8667,4.030598938697949e-05,3.8954596675466746e-05,4.803671617992222e-05,3.5992463381262496e-05,2.4011689674807712e-05,3.0284036256489344e-05,2.3425487597705796e-05,2.265587681904435e-05,3.234419637010433e-05,1.0918490261246916e-05
0.8889,3.0607574444729835e-05,2.9043776521575637e-05,4.0791597712086514e-05,3.3720429200911894e-05,2.4902015866246074e-05,2.4721330191823654e-05,2.5796603949856944e-05,2.0043476979481056e-05,3.751011172425933e-05,1.0691208444768563e-05
0.9111,2.2799591533839703e-05,3.760590698220767e-05,3.516535070957616e-05,3.590991400415078e-05,2.2025971702532843e-05,2.3504375349148177e-05,2.2676847947877832e-05,2.14144147321349e-05,4.937789708492346e-05,9.737135769682936e-06
0.9333,1.8903472664533183e-05,2.8573149393196218e-05,2.7340602173353545e-05,2.55037157330662e-05,2.2969848942011595e-05,2.059294820355717e-05,1.9355597032699734e-05,2.1701733203371987e-05,4.0590264688944444e-05,9.836824574449565e-06
0.9556,1.452216110919835e-05,1.4441305211221334e-05,2.049332033493556e-05,1.9179504306521267e-05,1.6268148101517e-05,2.1288795323926024e-05,1.6166472050826997e-05,1.8790178728522733e-05,2.100875644828193e-05,9.444303032069001e-06
0.9778,1.0780374395835679e-05,9.795661753742024e-06,1.0364748050051276e-05,2.3440754375769757e-05,1.3013142051931936e-05,1.689390410319902e-05,1.2713168871414382e-05,1.4604677744500805e-05,5.379858339438215e-05,8.979511221696157e-06
1.0,1.8993770822817169e-07,1.0447178055983386e-06,1.5309121863538167e-06,1.9856722701661056e-06,2.79691448668018e-06,4.316272224968998e-06,7.552446732006501e-06,1.4622025446442422e-05,1.5920624719001353e-05,3.3528165658935905e-05
