corr,mean_pd
0.0,0.035535238683223724
0.0421,0.03668767213821411
0.0842,0.03787803277373314
0.1263,0.040339261293411255
0.1684,0.043071355670690536
0.2105,0.04596677049994469
0.2526,0.04676804691553116
0.2947,0.04906982183456421
0.3368,0.052762679755687714
0.3789,0.05542895942926407
0.4211,0.05887170881032944
0.4632,0.06192431598901749
0.5053,0.06612296402454376
0.5474,0.07022459805011749
0.5895,0.07315679639577866
0.6316,0.0777805969119072
0.6737,0.08400970697402954
0.7158,0.08723141252994537
0.7579,0.09337683022022247
0.8,0.09901958703994751
0.8222,0.10132376849651337
0.8444,0.10017670691013336
0.8667,0.10572544485330582
0.8889,0.10840807110071182
0.9111,0.10723693668842316
0.9333,0.10804085433483124
0.9556,0.10471145808696747
0.9778,0.09952758252620697
1.0,0.06938757747411728
