step,epoch,n_refreshed,mean,std,min,max,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
7,0,,0.25349879264831543,0.4325418472290039,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,1.0,1.0,1.0
7,40,25000,0.26861435174942017,0.429311603307724,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.3278661015192483e-07,3.912027295882581e-06,7.778506551403552e-05,0.0009449650533497334,0.008732268586754799,0.10121044516563416,1.0,1.0,1.0
7,80,25000,0.2689518332481384,0.429836630821228,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.3944129761966906e-07,3.728115871126647e-06,7.833002746338025e-05,0.0009136834414675832,0.008696308359503746,0.09944817423820496,1.0,1.0,1.0
7,120,25000,0.2697509229183197,0.43091392517089844,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.4057465591577056e-07,3.7927072753518587e-06,7.603604899486527e-05,0.0009171348065137863,0.008690552785992622,0.09999999403953552,1.0,1.0,1.0
7,160,25000,0.2700980603694916,0.43125516176223755,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.3602148385416513e-07,3.753309329113108e-06,7.919665222289041e-05,0.0009387697791680694,0.008784034289419651,0.09837120026350021,1.0,1.0,1.0
7,200,25000,0.27048352360725403,0.4316614270210266,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.394810738020169e-07,3.9078472582332324e-06,7.59234608267434e-05,0.0009150132536888123,0.008736616000533104,0.10034725069999695,1.0,1.0,1.0
7,240,25000,0.2704605460166931,0.43178579211235046,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.3988935165798466e-07,3.844624188786838e-06,7.985595584614202e-05,0.0009136762237176299,0.00873020850121975,0.09800651669502258,1.0,1.0,1.0
7,280,25000,0.2705797255039215,0.4317721128463745,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.371509767977841e-07,3.868942258122843e-06,7.757881394354627e-05,0.0009193329606205225,0.008747056126594543,0.09901134669780731,1.0,1.0,1.0
7,320,25000,0.27049490809440613,0.43173444271087646,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.3973249224363826e-07,3.81514337277622e-06,7.889736298238859e-05,0.0009071951499208808,0.008704166859388351,0.0979321226477623,1.0,1.0,1.0
7,360,25000,0.2703799307346344,0.4316359758377075,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.4174975149217062e-07,3.909053248207783e-06,7.85809097578749e-05,0.0009136300650425255,0.008748568594455719,0.09822889417409897,1.0,1.0,1.0
