corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32,step33,step34,step35,step36,step37,step38,step39,step40,step41,step42,step43,step44,step45,step46,step47,step48,step49
0.0,3.0099448849796318e-05,3.2088515581563115e-05,2.971862704725936e-05,2.8154159736004658e-05,3.0887389584677294e-05,3.3736137993400916e-05,2.568451418483164e-05,3.435543840168975e-05,3.0979379516793415e-05,2.853436308214441e-05,4.190712934359908e-05,4.197563976049423e-05,3.532179835019633e-05,2.743746154010296e-05,3.9739901694701985e-05,3.7134661397431046e-05,2.7800468160421588e-05,2.796466287691146e-05,3.3087810152210295e-05,2.912688250944484e-05,2.6073797926073894e-05,2.818253415171057e-05,2.446379767206963e-05,2.973620757984463e-05,3.9693692087894306e-05,3.065241253352724e-05,2.9700433515245095e-05,3.307128281448968e-05,2.915556433435995e-05,2.6276809876435436e-05,2.225030038971454e-05,3.470683441264555e-05,2.2276291929301806e-05,2.1795782231492922e-05,2.3864766262704507e-05,2.251373189210426e-05,3.0204062568373047e-05,3.240346268285066e-05,2.462168959027622e-05,1.7644981198827736e-05,1.7204331015818752e-05,1.7927151930052787e-05,1.4997984180808999e-05,2.066109846055042e-05,1.0375224519520998e-05,1.7799242414184846e-05,2.09831941901939e-05,1.6823052646941505e-05,5.968815003143391e-06,8.027539479371626e-06
0.9,6.207379556144588e-06,8.48679064802127e-06,9.150822734227404e-06,3.613433364080265e-05,6.115985888754949e-05,3.840993667836301e-05,7.221580017358065e-05,4.1066730773309246e-05,4.612514385371469e-05,6.349189789034426e-05,2.098840195685625e-05,9.460795990889892e-05,3.877203562296927e-05,7.415960862999782e-05,2.4674120140844025e-05,2.887687151087448e-05,2.5120005375356413e-05,3.140651460853405e-05,2.5147723135887645e-05,2.0741743355756626e-05,2.9191025532782078e-05,3.668294448289089e-05,2.8378821298247203e-05,2.3063925254973583e-05,2.4205632144003175e-05,2.4978056899271905e-05,3.3722455555107445e-05,2.6445250114193186e-05,2.7504907848197035e-05,2.0976924133719876e-05,2.037674312305171e-05,2.0078272427781485e-05,2.0555800801957957e-05,2.000910899369046e-05,2.007972216233611e-05,2.0520023099379614e-05,2.3783950382494368e-05,1.6398105799453333e-05,1.4438498510571662e-05,1.515114308858756e-05,1.620579496375285e-05,2.7536296329344623e-05,2.3888671421445906e-05,2.344268432352692e-05,1.1789999007305596e-05,1.998026345972903e-05,1.0781761375255883e-05,1.4216499039321207e-05,4.430192711879499e-05,4.9705740821082145e-06
1.0,1.7165182608636087e-09,4.4718806435639635e-09,2.081412020515927e-08,6.193861423753333e-08,2.0119186672218348e-07,1.5409908371566416e-07,2.5528115088491177e-07,3.6491650234893314e-07,7.96509937117662e-07,6.280449156292889e-07,5.717133717553224e-07,3.740586294043169e-07,1.0384547977082548e-06,6.246897896744485e-07,5.397120617089968e-07,4.485628323891433e-06,1.7330260106973583e-06,1.138807078859827e-06,1.2378724250083906e-06,1.3876826869818615e-06,1.4121728781901766e-06,8.569576493755449e-06,2.2482472559204325e-06,6.847909389762208e-06,4.099423676962033e-06,1.2736581993522123e-06,1.1698572279783548e-06,1.4815482245467138e-06,1.3336054962564958e-06,2.785374817904085e-06,3.3445051030867035e-06,4.6371053031180054e-05,1.5161637065830291e-06,1.7344071238767356e-05,1.5453612149940454e-06,1.961483349077753e-06,3.0161991162458435e-06,1.8568568975751987e-06,4.942769737681374e-05,1.7792478956835112e-06,2.1033558823546628e-06,3.84157783628325e-06,6.126894732005894e-05,2.2579315555049106e-06,3.5768225643550977e-06,3.5142581964464625e-06,2.6440211513545364e-06,2.9979562441440066e-06,3.3338058074150467e-06,9.470030818192754e-06
