corr,mean_pd
0.0,0.0016389787197113037
0.0421,0.0016771923983469605
0.0842,0.00181058410089463
0.1263,0.0019064635271206498
0.1684,0.0018883770098909736
0.2105,0.0018882965669035912
0.2526,0.001771228271536529
0.2947,0.0019721121061593294
0.3368,0.002000269712880254
0.3789,0.0024580599274486303
0.4211,0.0023620249703526497
0.4632,0.0027188037056475878
0.5053,0.0029371045529842377
0.5474,0.0032217323314398527
0.5895,0.004011495504528284
0.6316,0.004112259019166231
0.6737,0.005018861964344978
0.7158,0.00511421961709857
0.7579,0.00595412403345108
0.8,0.007050807122141123
0.8222,0.006680643651634455
0.8444,0.00743459677323699
0.8667,0.007273076102137566
0.8889,0.0071014221757650375
0.9111,0.007101864088326693
0.9333,0.006788432598114014
0.9556,0.006151258479803801
0.9778,0.005148850381374359
1.0,0.0039426046423614025
