corr,mean_pd
0.0,0.0342964231967926
0.0421,0.03633221983909607
0.0842,0.03809571638703346
0.1263,0.04034334421157837
0.1684,0.04298727586865425
0.2105,0.04511573165655136
0.2526,0.04831240326166153
0.2947,0.05045601725578308
0.3368,0.05441565439105034
0.3789,0.05597732216119766
0.4211,0.05863090604543686
0.4632,0.060650281608104706
0.5053,0.06640006601810455
0.5474,0.07090836018323898
0.5895,0.07497870177030563
0.6316,0.07697227597236633
0.6737,0.08520493656396866
0.7158,0.08760831505060196
0.7579,0.09389559924602509
0.8,0.09676044434309006
0.8222,0.09972734749317169
0.8444,0.10039439052343369
0.8667,0.10308382660150528
0.8889,0.10600562393665314
0.9111,0.10708478838205338
0.9333,0.10639002174139023
0.9556,0.10496344417333603
0.9778,0.09857414662837982
1.0,0.07355193793773651
