corr,step0,step1,step2,step3,step4,step5,step6,step7,step8,step9
0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.0421,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.0842,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.1263,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.1684,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.2105,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.2526,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.2947,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.3368,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.3789,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.4211,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.4632,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.5053,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.5474,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.5895,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.6316,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.6737,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.7158,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.7579,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.8222,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.8444,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.8667,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.8889,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.9111,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.9333,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.9556,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.9778,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
