corr,mean_pd
0.0,0.024593355134129524
0.0421,0.0251432117074728
0.0842,0.02559218369424343
0.1263,0.026128118857741356
0.1684,0.026460450142621994
0.2105,0.027200588956475258
0.2526,0.02823626436293125
0.2947,0.029091987758874893
0.3368,0.029691005125641823
0.3789,0.030403882265090942
0.4211,0.031372420489788055
0.4632,0.032517172396183014
0.5053,0.03434600681066513
0.5474,0.03520914167165756
0.5895,0.03572160005569458
0.6316,0.0368826761841774
0.6737,0.03816681355237961
0.7158,0.039402712136507034
0.7579,0.040001288056373596
0.8,0.04092851281166077
0.8222,0.04102771729230881
0.8444,0.04174891859292984
0.8667,0.04186677187681198
0.8889,0.04173530265688896
0.9111,0.040971994400024414
0.9333,0.03949996829032898
0.9556,0.037208329886198044
0.9778,0.03184927627444267
1.0,0.023162217810750008
