corr,mean_pd
0.0,0.03377155587077141
0.0421,0.03545544669032097
0.0842,0.03745007514953613
0.1263,0.0397910550236702
0.1684,0.04145370423793793
0.2105,0.043634332716464996
0.2526,0.04663754627108574
0.2947,0.04900845140218735
0.3368,0.0526752695441246
0.3789,0.05709124729037285
0.4211,0.06084746867418289
0.4632,0.06335987150669098
0.5053,0.06709019094705582
0.5474,0.07441830635070801
0.5895,0.0746864452958107
0.6316,0.07938860356807709
0.6737,0.08598087728023529
0.7158,0.08835645765066147
0.7579,0.0947902575135231
0.8,0.09765360504388809
0.8222,0.10083138942718506
0.8444,0.10312161594629288
0.8667,0.10639951378107071
0.8889,0.10649313777685165
0.9111,0.10756876319646835
0.9333,0.10440556704998016
0.9556,0.10411767661571503
0.9778,0.0979045182466507
1.0,0.06979583203792572
