step,epoch,n_refreshed,mean,std,min,max,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
8,0,,0.2590721547603607,0.43414339423179626,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.02000000700354576,1.0,1.0,1.0
8,40,25000,0.26671913266181946,0.4326952397823334,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0131707917082622e-08,5.99147469415584e-08,1.6548780195080326e-06,6.335583748295903e-05,0.0017920106183737516,0.06207003444433212,1.0,1.0,1.0
8,80,25000,0.2686920464038849,0.4348442256450653,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0124671767641757e-08,6.131112684215623e-08,1.7255133570870385e-06,6.474298425018787e-05,0.0018323856638744473,0.06363590806722641,1.0,1.0,1.0
8,120,25000,0.26887640357017517,0.43504807353019714,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0126156801959496e-08,6.250836293020257e-08,1.6588381868132274e-06,6.15797471255064e-05,0.001843724981881678,0.06177240610122681,1.0,1.0,1.0
8,160,25000,0.26896554231643677,0.4351154565811157,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0102404246481456e-08,6.07590067147612e-08,1.6683189869581838e-06,6.326141010504216e-05,0.0018576373113319278,0.06236858293414116,1.0,1.0,1.0
8,200,25000,0.26884725689888,0.43503445386886597,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0113211601492367e-08,6.192715318320552e-08,1.6518471284143743e-06,6.436600961023942e-05,0.0017908693989738822,0.06314627826213837,1.0,1.0,1.0
8,240,25000,0.26889246702194214,0.4351663887500763,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0124567850766653e-08,6.259026719135363e-08,1.6653884813422337e-06,6.239235517568886e-05,0.0018307866994291544,0.06190985441207886,1.0,1.0,1.0
8,280,25000,0.2689099609851837,0.4351579248905182,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0115714488279082e-08,6.248249206919354e-08,1.639073047954298e-06,6.239904905669391e-05,0.0017815213650465012,0.0631399005651474,1.0,1.0,1.0
8,320,25000,0.268999308347702,0.4352484345436096,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.013574379982174e-08,6.200166069447732e-08,1.6778927829363965e-06,6.488914368674159e-05,0.001820630975998938,0.06198539957404137,1.0,1.0,1.0
8,360,25000,0.26910120248794556,0.4352245032787323,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0129681093928866e-08,6.323673318320289e-08,1.6148305803653784e-06,6.478223076555878e-05,0.0018277917988598347,0.06169850006699562,1.0,1.0,1.0
8,400,25000,0.26911255717277527,0.4353395700454712,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.013550221529158e-08,6.209067748841335e-08,1.6500807760166936e-06,6.509753438876942e-05,0.0018052579835057259,0.060007061809301376,1.0,1.0,1.0
8,440,25000,0.26916125416755676,0.4353395402431488,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0135944528144591e-08,6.198528268441805e-08,1.6503024653502507e-06,6.445353210438043e-05,0.001853641588240862,0.06112605333328247,1.0,1.0,1.0
8,480,25000,0.26901912689208984,0.43533405661582947,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0124258764676597e-08,6.0854596029003e-08,1.7077750271710102e-06,6.481295713456348e-05,0.0018143414054065943,0.06074071675539017,1.0,1.0,1.0
8,520,25000,0.26905378699302673,0.43528443574905396,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0134067807143765e-08,6.142705899492285e-08,1.6191022496059304e-06,6.138811295386404e-05,0.0018112401012331247,0.06260831654071808,1.0,1.0,1.0
8,560,25000,0.2690734565258026,0.43528711795806885,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0126927740827796e-08,6.284527387379057e-08,1.627600795472972e-06,6.280171510297805e-05,0.0017784303054213524,0.06315672397613525,1.0,1.0,1.0
8,600,25000,0.26914525032043457,0.43535909056663513,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0136933958904137e-08,6.150139597593807e-08,1.6655001218168763e-06,6.61566446069628e-05,0.0018240837380290031,0.061838701367378235,1.0,1.0,1.0
8,640,25000,0.26903486251831055,0.4353311061859131,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0135525307930493e-08,6.243298855679313e-08,1.6790035033409367e-06,6.190648127812892e-05,0.001810551853850484,0.06052227318286896,1.0,1.0,1.0
8,680,25000,0.2690097689628601,0.43522924184799194,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0106335324167048e-08,5.972592020953016e-08,1.6661246036164812e-06,6.413568917196244e-05,0.0018257846822962165,0.060933105647563934,1.0,1.0,1.0
8,720,25000,0.2690366208553314,0.4352475702762604,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0141083528480976e-08,6.181470268984413e-08,1.6679637155903038e-06,6.324993591988459e-05,0.0018384936265647411,0.06203940883278847,1.0,1.0,1.0
8,760,25000,0.26899611949920654,0.4351693093776703,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.011731676214822e-08,6.166531818507792e-08,1.6830358617880847e-06,6.780591502320021e-05,0.0017889864975586534,0.06330545991659164,1.0,1.0,1.0
8,800,25000,0.26900219917297363,0.435230553150177,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.011344075152465e-08,6.182654033182189e-08,1.6626572687528096e-06,6.499729352071881e-05,0.0018325044075027108,0.06123917177319527,1.0,1.0,1.0
8,840,25000,0.2689182162284851,0.4352225661277771,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0143735629242201e-08,6.278143871440989e-08,1.6305237977576326e-06,6.25515531282872e-05,0.0018398502143099904,0.062038399279117584,1.0,1.0,1.0
8,880,25000,0.2689252495765686,0.4351240396499634,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0132313654764857e-08,6.245538486382429e-08,1.6318082316502114e-06,6.23051673755981e-05,0.0017908477457240224,0.06247677654027939,1.0,1.0,1.0
8,920,25000,0.2690325379371643,0.4352174997329712,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0127927829728378e-08,6.211531911048951e-08,1.6868694956428953e-06,6.447696796385571e-05,0.0017782800132408738,0.06169069558382034,1.0,1.0,1.0
8,960,25000,0.2689807713031769,0.4352389872074127,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.010414063529197e-08,6.303100263949091e-08,1.6841814840518055e-06,6.092289913794957e-05,0.001810299581848085,0.060029637068510056,1.0,1.0,1.0
8,1000,25000,0.2689793109893799,0.4351620674133301,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0126240290730948e-08,6.139672592553325e-08,1.6353340015484719e-06,6.263575778575614e-05,0.001810770365409553,0.06268160790205002,1.0,1.0,1.0
8,1040,25000,0.26904919743537903,0.4352196156978607,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0119652671392032e-08,6.191727663917845e-08,1.694684442554717e-06,6.19513593846932e-05,0.001827222527936101,0.06090153753757477,1.0,1.0,1.0
8,1080,25000,0.26915961503982544,0.4352604150772095,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.01294617138592e-08,6.102450100797796e-08,1.636717570363544e-06,6.162763747852296e-05,0.0018748152069747448,0.06246565654873848,1.0,1.0,1.0
8,1120,25000,0.26912105083465576,0.43522340059280396,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0130248639939055e-08,6.173230815420538e-08,1.6317775362040265e-06,6.29003916401416e-05,0.0018460598075762391,0.06290138512849808,1.0,1.0,1.0
8,1160,25000,0.2690429091453552,0.43521782755851746,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0132832350961962e-08,6.1716384891497e-08,1.6689893982402282e-06,6.176398164825514e-05,0.001808774541132152,0.061317022889852524,1.0,1.0,1.0
8,1200,25000,0.2690480947494507,0.4352692663669586,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0132488625913538e-08,6.203793390113788e-08,1.6547853647352895e-06,6.090410897741094e-05,0.0018120822496712208,0.06192193925380707,1.0,1.0,1.0
8,1240,25000,0.2690325379371643,0.4353252947330475,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0131674166302673e-08,6.136840369208585e-08,1.720006480354641e-06,6.329421739792451e-05,0.0018848141189664602,0.0616665780544281,1.0,1.0,1.0
8,1280,25000,0.2690500319004059,0.4352821707725525,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0121093296788786e-08,6.276353303746873e-08,1.6138887986016925e-06,6.334362842608243e-05,0.0018011837964877486,0.06104806810617447,1.0,1.0,1.0
8,1320,25000,0.2690182030200958,0.43519964814186096,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0125734917210139e-08,6.22468903088702e-08,1.6398705611209152e-06,6.235922046471387e-05,0.0018148828530684114,0.06215040758252144,1.0,1.0,1.0
8,1360,25000,0.2690659463405609,0.4352377653121948,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0127733318654464e-08,6.189692669522628e-08,1.6244298421952408e-06,6.37090633972548e-05,0.0018230124842375517,0.06169942766427994,1.0,1.0,1.0
8,1400,25000,0.2689933180809021,0.4352390468120575,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0143760498237953e-08,6.147033815295799e-08,1.693863168839016e-06,6.351188494591042e-05,0.001811731024645269,0.061054494231939316,1.0,1.0,1.0
8,1440,25000,0.2690027356147766,0.43519213795661926,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0131824268455603e-08,6.127524443400034e-08,1.6740420960559277e-06,6.440424476750195e-05,0.0018575153080746531,0.061802372336387634,1.0,1.0,1.0
8,1480,25000,0.26899588108062744,0.43519121408462524,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0118487381305385e-08,6.112792050316784e-08,1.6375296354453894e-06,6.573990685865283e-05,0.001838800497353077,0.06174272671341896,1.0,1.0,1.0
8,1520,25000,0.2690543532371521,0.43521881103515625,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.013586015119472e-08,6.47794493602305e-08,1.6705296275176806e-06,6.5695057855919e-05,0.0017470089951530099,0.06348863989114761,1.0,1.0,1.0
8,1560,25000,0.269042044878006,0.43521949648857117,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.013855666087693e-08,6.316194856026414e-08,1.6309061265928904e-06,6.420607678592205e-05,0.0018031451618298888,0.06307137757539749,1.0,1.0,1.0
8,1600,25000,0.269124299287796,0.43525514006614685,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0126690597189736e-08,6.207011438164045e-08,1.652983769417915e-06,6.51935552014038e-05,0.001758416066877544,0.06332934647798538,1.0,1.0,1.0
8,1640,25000,0.2690296173095703,0.43527835607528687,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0119516780093818e-08,6.26476861498304e-08,1.6265850035779295e-06,6.500162999145687e-05,0.0018290486186742783,0.0612514354288578,1.0,1.0,1.0
8,1680,25000,0.2690621316432953,0.43523600697517395,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0132858996314553e-08,6.221271320328015e-08,1.6294261513394304e-06,6.500126619357616e-05,0.0018549645319581032,0.06250489503145218,1.0,1.0,1.0
8,1720,25000,0.2690606415271759,0.4352318048477173,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.012804240474452e-08,6.291609366826378e-08,1.6318061852871324e-06,6.330152973532677e-05,0.0017554094083607197,0.06326323747634888,1.0,1.0,1.0
8,1760,25000,0.2690235674381256,0.4351871907711029,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0126178118241569e-08,6.268270880127602e-08,1.6619018197161495e-06,6.257931818254292e-05,0.001875951187685132,0.062462277710437775,1.0,1.0,1.0
8,1800,25000,0.2690838575363159,0.43525344133377075,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.011429784369966e-08,6.12839983205049e-08,1.6843900993990246e-06,6.315104837995023e-05,0.0018413596553727984,0.061720412224531174,1.0,1.0,1.0
8,1840,25000,0.26898378133773804,0.43526557087898254,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0121129712103993e-08,6.296979648823253e-08,1.7102718175010523e-06,6.244746327865869e-05,0.001842191442847252,0.061210747808218,1.0,1.0,1.0
8,1880,25000,0.26900342106819153,0.43526580929756165,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.012507766517956e-08,6.106353822588062e-08,1.6352182683476713e-06,6.37501070741564e-05,0.001824133680202067,0.06220380589365959,1.0,1.0,1.0
8,1920,25000,0.2691044211387634,0.4352426826953888,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.013106132319308e-08,6.289406684345522e-08,1.6082318552435027e-06,6.301084067672491e-05,0.0018252950394526124,0.06279368698596954,1.0,1.0,1.0
8,1960,25000,0.2690134644508362,0.4352847933769226,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0125002170013886e-08,6.137224062285895e-08,1.710637434371165e-06,6.29931892035529e-05,0.001842467812821269,0.06116469204425812,1.0,1.0,1.0
8,2000,25000,0.2690619230270386,0.4352588355541229,9.99999993922529e-09,1.0,9.99999993922529e-09,9.99999993922529e-09,1.0120598581409013e-08,6.124914619931587e-08,1.6312700381604373e-06,6.179519550641999e-05,0.0018134622368961573,0.06167720630764961,1.0,1.0,1.0
