corr,mean_pd
0.0,0.6068308353424072
0.0421,0.6118940114974976
0.0842,0.6116782426834106
0.1263,0.6175963878631592
0.1684,0.6189035177230835
0.2105,0.6220884323120117
0.2526,0.6317622661590576
0.2947,0.6352362632751465
0.3368,0.6361331939697266
0.3789,0.640576958656311
0.4211,0.6409202814102173
0.4632,0.6424030065536499
0.5053,0.6439858078956604
0.5474,0.6449226140975952
0.5895,0.6516764163970947
0.6316,0.6468348503112793
0.6737,0.648752748966217
0.7158,0.6482888460159302
0.7579,0.646818995475769
0.8,0.6459552049636841
0.8222,0.6458896398544312
0.8444,0.6418743133544922
0.8667,0.64104163646698
0.8889,0.63594651222229
0.9111,0.6307312250137329
0.9333,0.6229774951934814
0.9556,0.6135135293006897
0.9778,0.5933496952056885
1.0,0.5531923770904541
